Number,Date,Sub-Channels,Comments,Sentiment,Sentan
776,13/02/2024,Certificate of To Whom It May Concern,Dubai Police Dubai Goovernment Are Real Helpful for ThERE CUSTOMERS,Happy,5
777,13/02/2024,Police Clearance Certificate,Thank you for the easy and fast account to my pcc request.,Happy,5
778,13/02/2024,Certificate of To Whom It May Concern,Location Map Hard to Navigate The Should Be a Search Option,Neutral,3
779,13/02/2024,Certificate of To Whom It May Concern,Thanks for the electronic services that contribute to saving time and effort,Happy,5
780,13/02/2024,Certificate of To Whom It May Concern,Excellent Customer Service,Happy,5
781,13/02/2024,Certificate of To Whom It May Concern,Vry Good App. Dubai Police the Best in the World,Happy,5
782,13/02/2024,Certificate of To Whom It May Concern,Nice Service,Happy,4
783,13/02/2024,Police Clearance Certificate,"I think its a great service .. Really Responsive and Fast, Hassan Free.",Happy,5
784,13/02/2024,Certificate of To Whom It May Concern,App is Great! Please add option to address,Happy,5
785,13/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
786,13/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
787,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
788,13/02/2024,Police Clearance Certificate,Thank you so much,Happy,5
789,13/02/2024,Police Clearance Certificate,Vry Good Service,Happy,4
790,13/02/2024,Certificate of To Whom It May Concern,Vry Nyc and Easy to Access,Happy,5
791,13/02/2024,Certificate of To Whom It May Concern,Well Well Designed App,Happy,5
792,13/02/2024,Certificate of To Whom It May Concern,Vry Help Full,Happy,5
793,13/02/2024,Certificate of Loss,Good,Happy,4
794,13/02/2024,Certificate of Loss,Ok,Happy,3
795,13/02/2024,Certificate of Loss,Thank you so much,Happy,5
796,13/02/2024,Certificate of Loss,Good,Happy,4
797,13/02/2024,Police Clearance Certificate,IT More Convenient Since I M Outside Dubai. Hope I can get it easily as well.,Happy,4
798,13/02/2024,Police Clearance Certificate,nice,Happy,4
799,12/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
800,12/02/2024,Certificate of To Whom It May Concern,Thank you for make dubai smart,Happy,5
801,12/02/2024,Certificate of To Whom It May Concern,Loveing ​​Service,Happy,5
802,12/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
803,12/02/2024,Police Clearance Certificate,Good,Happy,4
804,12/02/2024,Certificate of To Whom It May Concern,Vry Easy,Happy,5
805,12/02/2024,Certificate of To Whom It May Concern,It was really Helpful and Most Importantly Save a Lot of Time,Happy,5
806,12/02/2024,Certificate of To Whom It May Concern,Ok,Neutral,3
807,12/02/2024,Certificate of To Whom It May Concern,More Power and Good Job,Happy,5
808,12/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
809,12/02/2024,Certificate of To Whom It May Concern,I am sorry but this service? This is absolutly unacceptable !!!,Unhappy,1
810,12/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
811,12/02/2024,Bounced Cheque Report,easy,Happy,5
812,12/02/2024,Certificate of Loss,Good,Happy,4
813,12/02/2024,detainee visit request,Emo,Unhappy,4
814,12/02/2024,Certificate of To Whom It May Concern,The page wipes the data if you go back,Unhappy,1
815,12/02/2024,Certificate of Loss,Good,Happy,4
816,12/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
817,12/02/2024,Police Clearance Certificate,Further progress,Happy,4
818,12/02/2024,Police Clearance Certificate,May you be stuck,Happy,3
819,12/02/2024,Certificate of To Whom It May Concern,Vry Helpfull and SetisFied. Thank you.,Happy,5
820,12/02/2024,Certificate of To Whom It May Concern,"We thank you for the ease of transactions and their speed, and we wish you more excellence and leadership",Happy,5
821,12/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
822,12/02/2024,Certificate of To Whom It May Concern,Vry every to use,Happy,5
823,12/02/2024,Certificate of To Whom It May Concern,na,Happy,3
824,12/02/2024,Certificate of To Whom It May Concern,It s very Good Think You,Happy,4
825,12/02/2024,Certificate of To Whom It May Concern,It s good,Happy,4
826,12/02/2024,Certificate of To Whom It May Concern,It s good,Happy,4
827,12/02/2024,Certificate of Loss,Ok,Happy,3
828,12/02/2024,Police Clearance Certificate,Vry Good Thanks,Happy,4
829,12/02/2024,Certificate of To Whom It May Concern,Alhumdulilah Dubai Police is Best and Super Great,Happy,5
830,12/02/2024,Certificate of To Whom It May Concern,It s hair fantastic,Happy,5
831,12/02/2024,Certificate of To Whom It May Concern,Excellent and distinguished as usual,Happy,5
832,12/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
833,12/02/2024,Certificate of To Whom It May Concern,Amazing Service!,Happy,5
834,12/02/2024,Certificate of To Whom It May Concern,"Thanks for Such amazing and User Friendly Accessible Service All The Best and Keep up.",Happy,5
835,12/02/2024,Certificate of To Whom It May Concern,excellent,Happy,5
836,12/02/2024,"Submit complaints ( labor, economic crime, electronic crime)","I hant My Labour Card Cancellation I am Going My Home",Happy,1
837,12/02/2024,Certificate of Loss,Ok,Happy,3
838,12/02/2024,Police Clearance Certificate,I was attached to smoothly when I call to ask for information Clarity by the Officeer,Happy,4
839,12/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
840,12/02/2024,Certificate of Loss,Good Job,Happy,4
841,12/02/2024,Certificate of To Whom It May Concern,Luv it,Happy,5
842,12/02/2024,Police Clearance Certificate,Happy,Happy,5
843,12/02/2024,Police Clearance Certificate,excellent,Happy,5
844,12/02/2024,Certificate of To Whom It May Concern,It s my first time Experience Nice working with Dubai Police,Happy,5
845,12/02/2024,Certificate of To Whom It May Concern,Kk,Happy,3
846,12/02/2024,Certificate of To Whom It May Concern,Thank you all,Happy,5
847,12/02/2024,Certificate of Loss,Great,Happy,5
848,12/02/2024,Certificate of Loss,Thank you,Happy,5
849,12/02/2024,Certificate of To Whom It May Concern,Excellent,Happy,5
850,12/02/2024,Certificate of Loss,Thank you so much for helping,Happy,5
851,12/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
852,12/02/2024,Certificate of Loss,None,Happy,1
853,12/02/2024,Police Clearance Certificate,Vry Convinient Services. Thanks,Happy,5
854,12/02/2024,Certificate of To Whom It May Concern,PL Suppirt,Neutral,1
855,12/02/2024,Certificate of Loss,Good,Happy,4
856,12/02/2024,Certificate of To Whom It May Concern,Thinks for the Help of the Service requires.,Happy,4
857,12/02/2024,Certificate of To Whom It May Concern,Good App,Happy,4
858,12/02/2024,Certificate of To Whom It May Concern,Everything nice,Happy,5
859,12/02/2024,Certificate of To Whom It May Concern,Vry Good,Happy,4
860,12/02/2024,Certificate of Loss,Easy and Fast Service,Happy,5
861,12/02/2024,Bounced Cheque Report,Thank you very much,Happy,5
862,12/02/2024,Police Clearance Certificate,Thank you,Happy,5
863,12/02/2024,Certificate of To Whom It May Concern,Excellent Service,Happy,5
864,12/02/2024,Police Clearance Certificate,Thank you,Happy,5
865,12/02/2024,Police Clearance Certificate,Good Service,Happy,4
866,12/02/2024,Police Clearance Certificate,Thank you,Happy,5
867,12/02/2024,Police Clearance Certificate,Fast Services,Happy,5
868,12/02/2024,Certificate of Loss,None,Happy,1
869,12/02/2024,Certificate of To Whom It May Concern,Clear and Helpful Function,Happy,5
870,12/02/2024,Certificate of Loss,Good,Happy,4
871,12/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
872,12/02/2024,Certificate of To Whom It May Concern,Great Service.,Happy,5
873,12/02/2024,Certificate of To Whom It May Concern,The Service Was So Amazing.,Happy,5
874,12/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
875,12/02/2024,Police Clearance Certificate,Thank you,Happy,5
876,12/02/2024,Certificate of Loss,Love it,Happy,5
877,12/02/2024,Certificate of To Whom It May Concern,Complication with providing data & party link not con Ecting,Neutral,2
878,12/02/2024,Certificate of To Whom It May Concern,Good and Fast Service,Happy,4
879,12/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
880,12/02/2024,Certificate of To Whom It May Concern,Ok,Happy,3
881,12/02/2024,Certificate of To Whom It May Concern,Excellent,Happy,5
882,12/02/2024,Certificate of To Whom It May Concern,"All thanks, appreciation and respect Excellent service and thank you for efforts",Happy,5
883,12/02/2024,Certificate of To Whom It May Concern,The app can be more Advanced,Neutral,3
884,12/02/2024,Certificate of To Whom It May Concern,excellent,Happy,5
885,12/02/2024,Certificate of To Whom It May Concern,Super Sir,Happy,5
886,12/02/2024,Certificate of To Whom It May Concern,Excellent,Happy,5
887,12/02/2024,Police Clearance Certificate,I am trying to pay for the police cellrance service but its rejecting Again and Again,Unhappy,2
888,12/02/2024,Certificate of To Whom It May Concern,Excellent Service,Happy,5
889,12/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
890,12/02/2024,Traffic Accident Report-  without Injuries,Thanks Dubai Police,Happy,5
891,12/02/2024,Certificate of To Whom It May Concern,It was easy and smooth.,Neutral,5
892,12/02/2024,Certificate of To Whom It May Concern,Long Live Dubai,Happy,5
893,12/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
894,12/02/2024,night work permit,Easy to Access,Happy,5
895,12/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
896,12/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
897,12/02/2024,Police Clearance Certificate,Easy to use very effective,Happy,5
898,12/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
899,12/02/2024,Police Clearance Certificate,Thanks,Happy,5
900,12/02/2024,Traffic clearance certificate,Good,Happy,4
901,12/02/2024,Certificate of To Whom It May Concern,Ok,Happy,3
902,12/02/2024,Certificate of To Whom It May Concern,Dubai Application for Make everyBody Easy!,Happy,5
903,12/02/2024,Police Clearance Certificate,Excellent Portal,Happy,5
904,12/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
905,12/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
906,12/02/2024,Certificate of To Whom It May Concern,Perfect Very Easy and Helful,Happy,5
907,12/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
908,12/02/2024,Police Clearance Certificate,Good,Happy,4
909,12/02/2024,Certificate of To Whom It May Concern,Good Customer Service,Happy,4
910,12/02/2024,Police Clearance Certificate,It was a smooth transaction,Happy,4
911,12/02/2024,Certificate of To Whom It May Concern,Easy to use,Happy,5
912,12/02/2024,Police Clearance Certificate,I am very happy about your serial it s very easy to sitting on the Bed and now it s Oats On Of My Friend He told me please reply it s hair verful revolution you dubai government,Happy,5
913,12/02/2024,Police Clearance Certificate,Great Service,Happy,5
914,12/02/2024,Police Clearance Certificate,Easy and Straight Forward Service,Happy,5
915,12/02/2024,Certificate of To Whom It May Concern,Thanks to all the services of the United Arab Emirates,Happy,5
916,12/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
917,12/02/2024,Certificate of Loss,AA,Happy,3
918,12/02/2024,Police Clearance Certificate,Thank you,Happy,5
919,12/02/2024,Certificate of Loss,S,Neutral,4
920,12/02/2024,Police Clearance Certificate,Na,Happy,3
921,12/02/2024,Police Clearance Certificate,Na,Unhappy,3
922,12/02/2024,Police Clearance Certificate,I Found it a very eFFICIENT SYSTEM and Look Forward to Receival My Certificate. Thankyou,Happy,5
923,11/02/2024,Police Clearance Certificate,All good,Happy,5
924,11/02/2024,night work permit,User Friendly,Happy,5
925,11/02/2024,Police Clearance Certificate,Good Services,Happy,4
926,11/02/2024,Police Clearance Certificate,Vry Efficience Service.,Happy,5
927,11/02/2024,Police Clearance Certificate,This is the title.,Happy,5
928,11/02/2024,Police Clearance Certificate,Thanks,Happy,5
929,11/02/2024,Police Clearance Certificate,Good Service,Happy,4
930,11/02/2024,Police Clearance Certificate,Good,Happy,4
931,11/02/2024,Certificate of Loss,"Google Maps DIDN T Work, I Coupdn T Set Up Precise Location",Unhappy,1
932,11/02/2024,Certificate of Loss,DD,Happy,3
933,11/02/2024,Traffic Accident Report-  without Injuries,Vry Good,Happy,4
934,11/02/2024,Police Clearance Certificate,Thinks for the Online Essay Access,Happy,4
935,11/02/2024,detainee visit request,Thank you for your service,Happy,5
936,11/02/2024,Police Clearance Certificate,All good,Happy,5
937,11/02/2024,detainee visit request,Good,Happy,4
938,11/02/2024,Police Clearance Certificate,Thank you for your Online Service,Happy,5
939,11/02/2024,Certificate of Loss,PLS Call Me,Neutral,5
940,11/02/2024,Traffic Accident Report-  without Injuries,I stopped my car on Pedstrian and He Hit Me from Behind,Happy,1
941,11/02/2024,Police Clearance Certificate,Vry Direction to use the site and i dont know which mu is very successful,Unhappy,3
942,11/02/2024,Police Clearance Certificate,But Too Expective,Happy,3
943,11/02/2024,Police Clearance Certificate,Vry Good Service.,Happy,4
944,11/02/2024,Police Clearance Certificate,Keep it up,Happy,4
945,11/02/2024,Police Clearance Certificate,Vry Fast Process,Happy,4
946,11/02/2024,Police Clearance Certificate,Thank you for your service,Happy,5
947,11/02/2024,Police Clearance Certificate,Spent Less Than 10 Minutes in the While Process. Extremely Satisfied with the Service Standards Mydubai,Happy,5
948,11/02/2024,Police Clearance Certificate,Accessibility and Speed ​​of Service is Excellent,Happy,5
949,11/02/2024,detainee visit request,Good,Happy,4
950,11/02/2024,Police Clearance Certificate,Good,Happy,4
951,10/02/2024,Police Clearance Certificate,Vry Good,Happy,4
952,10/02/2024,Police Clearance Certificate,Dubai Police Always Good,Happy,5
953,10/02/2024,Police Clearance Certificate,Amazing Easy to use,Happy,5
954,10/02/2024,night work permit,Vry Good,Happy,4
955,10/02/2024,Police Clearance Certificate,Happy,Happy,5
956,10/02/2024,Police Clearance Certificate,"It was very fast, easy and time",Happy,5
957,10/02/2024,Police Clearance Certificate,Thank you for the service,Happy,5
958,10/02/2024,Police Clearance Certificate,Service Delivery,Happy,4
959,10/02/2024,night work permit,I,Unhappy,5
960,10/02/2024,Certificate of Loss,No Good Services,Unhappy,1
961,10/02/2024,Police Clearance Certificate,SATISFACTory,Happy,4
962,10/02/2024,Traffic Accident Report-  without Injuries,Easy to Access,Happy,5
963,10/02/2024,night work permit,User Friendly,Happy,5
964,10/02/2024,Police Clearance Certificate,Good,Happy,4
965,10/02/2024,night work permit,Thanks,Happy,5
966,10/02/2024,Police Clearance Certificate,Vry Nice,Happy,4
967,10/02/2024,Police Clearance Certificate,Easy Website,Happy,5
968,10/02/2024,Police Clearance Certificate,Youre very nice,Happy,5
969,10/02/2024,Police Clearance Certificate,Easy and Simple,Happy,5
970,10/02/2024,night work permit,Easy to apply,Happy,5
971,10/02/2024,night work permit,Thank you for make it easy for us,Happy,5
972,10/02/2024,night work permit,na,Happy,3
973,10/02/2024,Police Clearance Certificate,Excellent System,Happy,5
974,10/02/2024,night work permit,Good Service,Happy,4
975,10/02/2024,Police Clearance Certificate,Good,Happy,4
976,10/02/2024,Police Clearance Certificate,Hope to get Fast and Correct Information,Neutral,4
977,10/02/2024,Certificate of Loss,Good and Quick,Happy,5
978,10/02/2024,Traffic Accident Report-  without Injuries,SMART SURVES GOOD VICLE ACCIDENT Report I Makeing Simpl and Very Isse,Happy,4
979,10/02/2024,night work permit,Good Service,Happy,4
980,10/02/2024,Police Clearance Certificate,Good,Happy,4
981,10/02/2024,Request for payment by instalment method of the amount of traffic violations,Thank you Dubai Police,Happy,5
982,09/02/2024,night work permit,Good,Happy,4
983,09/02/2024,Police Clearance Certificate,Thinks for Support,Happy,4
984,09/02/2024,Police Clearance Certificate,Thanks,Happy,5
985,09/02/2024,Police Clearance Certificate,Good,Happy,4
986,09/02/2024,Police Clearance Certificate,Good Services,Happy,4
987,09/02/2024,Police Clearance Certificate,Awesome,Happy,5
988,09/02/2024,Police Clearance Certificate,Thank you for Fast Service Dubai Police,Happy,5
989,09/02/2024,"Submit complaints ( labor, economic crime, electronic crime)",Thinks you so much I am out of country but I am Use this Dubai Police Application for My Check the Status,Happy,5
990,09/02/2024,Police Clearance Certificate,Awesome,Happy,5
991,09/02/2024,Police Clearance Certificate,Good,Happy,4
992,09/02/2024,Police Clearance Certificate,nice,Happy,4
993,09/02/2024,Police Clearance Certificate,Vry Efficient,Happy,5
994,09/02/2024,Police Clearance Certificate,The Service is Expective,Neutral,4
995,09/02/2024,Police Clearance Certificate,Vry Efficient,Happy,5
996,09/02/2024,Traffic Accident Report-  without Injuries,Thank you Dubai Police,Happy,5
997,09/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
998,09/02/2024,Police Clearance Certificate,Vry Good,Happy,4
999,09/02/2024,detainee visit request,Great Site,Happy,5
1000,09/02/2024,detainee visit request,Great,Happy,5
1001,09/02/2024,night work permit,Thank you,Happy,5
1002,09/02/2024,Police Clearance Certificate,Best Service,Happy,5
1003,09/02/2024,Police Clearance Certificate,Good Service,Happy,4
1004,09/02/2024,night work permit,Keep it up,Happy,4
1005,09/02/2024,night work permit,Thanks,Happy,5
1006,09/02/2024,Police Clearance Certificate,Good,Happy,4
1007,09/02/2024,Police Clearance Certificate,Great,Happy,5
1008,09/02/2024,Police Clearance Certificate,Thank you,Happy,5
1009,09/02/2024,night work permit,Excel,Happy,5
1010,09/02/2024,Police Clearance Certificate,Good,Happy,4
1011,09/02/2024,Certificate of Loss,Perfect,Happy,5
1012,09/02/2024,Police Clearance Certificate,Thanks for all,Happy,5
1013,09/02/2024,Police Clearance Certificate,Fantastic,Happy,5
1014,09/02/2024,Bounced Cheque Report,Site,Unhappy,4
1015,09/02/2024,Police Clearance Certificate,"Amazing Service Easily Access Less Time Consuming Go Green",Happy,5
1016,09/02/2024,Certificate of Loss,Vry Good Service,Happy,4
1017,09/02/2024,detainee visit request,Dubai Police You Are the Best,Happy,5
1018,09/02/2024,Police Clearance Certificate,It was good,Happy,4
1019,09/02/2024,Certificate of Loss,Vry Good Sevice,Happy,4
1020,09/02/2024,Certificate of Loss,Vry Good Services,Happy,4
1021,09/02/2024,Certificate of Loss,Good Services,Happy,4
1022,09/02/2024,Traffic Accident Report-  without Injuries,"Vry Good Service, Really AppreciaTate Dubai Police",Happy,5
1023,09/02/2024,Police Clearance Certificate,The Best Service!,Happy,5
1024,09/02/2024,Police Clearance Certificate,Happy,Happy,5
1025,09/02/2024,Police Clearance Certificate,Happy,Happy,5
1026,09/02/2024,Police Clearance Certificate,Thank you,Happy,5
1027,09/02/2024,Police Clearance Certificate,Thanks,Happy,5
1028,09/02/2024,Police Clearance Certificate,These Types of Services Are Too Expective.,Neutral,2
1029,09/02/2024,Certificate of Loss,Need Certificates Faster,Neutral,3
1030,09/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
1031,09/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
1032,09/02/2024,Police Clearance Certificate,Great,Happy,5
1033,09/02/2024,Police Clearance Certificate,Remarkable,Happy,5
1034,09/02/2024,Police Clearance Certificate,Nice,Happy,4
1035,09/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
1036,09/02/2024,Police Clearance Certificate,Thanks for the service,Happy,5
1037,09/02/2024,Police Clearance Certificate,Great Process Flow!,Happy,5
1038,09/02/2024,Traffic Accident Report-  without Injuries,Vry Good Service,Happy,4
1039,09/02/2024,Traffic Accident Report-  without Injuries,Thank you,Happy,5
1040,09/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
1041,09/02/2024,Police Clearance Certificate,Thanks,Happy,5
1042,09/02/2024,Police Clearance Certificate,"Always Happy to Apply for Certificates Online, IT So Convenience",Happy,5
1043,09/02/2024,Police Clearance Certificate,Good,Happy,4
1044,09/02/2024,Police Clearance Certificate,Great Service.,Happy,5
1045,09/02/2024,Certificate of Loss,"I though I reported this will long time and I was eagerly for my refrution but all in vain. Thinks to the Customer Service Representative Who Guided Me here.",Happy,3
1046,08/02/2024,Police Clearance Certificate,Thank you all,Happy,5
1047,08/02/2024,Police Clearance Certificate,Thanks,Happy,5
1048,08/02/2024,Police Clearance Certificate,Ease of Access,Happy,4
1049,08/02/2024,Police Clearance Certificate,"Thanks all thanks for making our lives easier Conditions at the top of the smoothness, thanks Dubai Police Best Regards",Happy,5
1050,08/02/2024,Police Clearance Certificate,Excellent,Happy,5
1051,08/02/2024,Police Clearance Certificate,Its good service,Happy,4
1052,08/02/2024,Detainee Visit,Nice,Happy,4
1053,08/02/2024,Police Clearance Certificate,Good,Happy,4
1054,08/02/2024,Certificate of Loss,"After Coming Download to the Police Station, I WAS TOLD to Fill out the Form online by An Officeer. The website is not mobile friendly so things debt t link up profirly and it was hard for me to enter my details. I haad to submit my application 3 times on Two Devices Before IT Finally Got Me Throw to the Payment Screen. Not a Good Experience for Someone Who is already Distraght.",Unhappy,2
1055,08/02/2024,Police Clearance Certificate,Easy to use playform,Happy,5
1056,08/02/2024,Police Clearance Certificate,Good,Happy,4
1057,08/02/2024,night work permit,Thank you!,Happy,5
1058,08/02/2024,Police Clearance Certificate,Thanks,Happy,5
1059,08/02/2024,Certificate of Loss,Easy to use,Happy,5
1060,08/02/2024,Police Clearance Certificate,Thank you,Happy,5
1061,08/02/2024,Traffic Accident Report-  without Injuries,Good Service,Happy,4
1062,08/02/2024,night work permit,Great Portal,Happy,5
1063,08/02/2024,night work permit,Easy to use Portal,Happy,5
1064,08/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
1065,08/02/2024,Certificate of Loss,Good Service,Happy,4
1066,08/02/2024,Police Clearance Certificate,Good,Happy,4
1067,08/02/2024,Police Clearance Certificate,Good Platiform,Happy,4
1068,08/02/2024,Police Clearance Certificate,Thank you,Happy,5
1069,08/02/2024,night work permit,I am very happy,Happy,5
1070,08/02/2024,night work permit,I didnt recept otp for the first time and i weed to redo the While Process of the Permit Wasting 30Min More,Unhappy,1
1071,08/02/2024,Police Clearance Certificate,Good Service,Happy,4
1072,08/02/2024,Police Clearance Certificate,Service is good,Happy,4
1073,08/02/2024,Police Clearance Certificate,very good,Happy,5
1074,08/02/2024,Police Clearance Certificate,Thank you,Happy,5
1075,08/02/2024,Certificate of Loss,Good Support,Happy,4
1076,08/02/2024,Police Clearance Certificate,Really Good,Happy,5
1077,08/02/2024,Police Clearance Certificate,"As always, dubai is the best",Happy,5
1078,08/02/2024,Police Clearance Certificate,Thank you for smart services,Happy,5
1079,08/02/2024,Police Clearance Certificate,Thanks,Happy,5
1080,08/02/2024,Police Clearance Certificate,Great Services,Happy,5
1081,08/02/2024,Police Clearance Certificate,Great Services,Happy,5
1082,08/02/2024,Police Clearance Certificate,Thanks.,Happy,5
1083,08/02/2024,Police Clearance Certificate,Vry Nice,Happy,4
1084,08/02/2024,Police Clearance Certificate,Thank you,Happy,5
1085,08/02/2024,Police Clearance Certificate,Happy,Happy,5
1086,08/02/2024,Police Clearance Certificate,Nothing,Happy,1
1087,08/02/2024,Certificate of Loss,Happy,Happy,5
1088,08/02/2024,Police Clearance Certificate,H,Happy,5
1089,08/02/2024,Traffic Accident Report-  without Injuries,User Friendly,Happy,5
1090,08/02/2024,Certificate of Loss,Vry everyy to use dxb police service. Thank you Dubai Police!,Happy,5
1091,08/02/2024,Police Clearance Certificate,Good,Happy,4
1092,08/02/2024,Police Clearance Certificate,Good,Happy,4
1093,08/02/2024,Police Clearance Certificate,Thanks,Happy,5
1094,08/02/2024,Police Clearance Certificate,Easy Access and Very Convenient,Happy,5
1095,08/02/2024,Police Clearance Certificate,"Super Easy, so good when all thinks are linked by your emirates ID. Such a good process",Happy,5
1096,08/02/2024,Certificate of Loss,All good,Happy,5
1097,08/02/2024,Certificate of Loss,Good,Happy,4
1098,08/02/2024,Police Clearance Certificate,Great! Vry Easy.,Happy,5
1099,08/02/2024,Police Clearance Certificate,Think,Happy,5
1100,08/02/2024,Police Clearance Certificate,Vry Good Service,Happy,4
1101,08/02/2024,Police Clearance Certificate,Good,Happy,4
1102,08/02/2024,night work permit,Thanks,Happy,5
1103,08/02/2024,Police Clearance Certificate,Awesome,Happy,5
1104,08/02/2024,night work permit,This is my 3rd time to apply becuse the 1st and 2nd Time - I Receied A Incomplete Name of Sub Companies. I Issue with the Website!,Unhappy,1
1105,08/02/2024,Police Clearance Certificate,Easy Process,Happy,5
1106,08/02/2024,Police Clearance Certificate,God bless you,Happy,1
1107,08/02/2024,Police Clearance Certificate,I needed this to apply to University and it was Super Easy to Finish! Amazing!,Happy,5
1108,08/02/2024,Police Clearance Certificate,"As Expat to UAE, IM Always Impress with the emirates people.",Happy,5
1109,08/02/2024,Certificate of Loss,Good Service,Neutral,4
1110,08/02/2024,Police Clearance Certificate,It s eary to use the application with Easy Steps to Follow to get all the next information and details,Happy,4
1111,08/02/2024,Police Clearance Certificate,It would have been beetter that you actept biometrics online which has been been attacted by your own uae embassy and ministry of Foreign Affairs. Why do you Need hard Copies? Professional Save Time for Yourself and Money for Us.,Happy,1
1112,08/02/2024,detainee visit request,Thanks,Happy,5
1113,08/02/2024,Police Clearance Certificate,Hoping for Expeeded Response,Happy,3
1114,08/02/2024,Police Clearance Certificate,Thanks Dubai Police,Happy,5
1115,08/02/2024,Police Clearance Certificate,Suppr Easy and Smooth Process,Happy,5
1116,08/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
1117,08/02/2024,Police Clearance Certificate,Thank for the Good Service,Happy,5
1118,07/02/2024,Police Clearance Certificate,Na,Happy,3
1119,07/02/2024,Police Clearance Certificate,Docs request in detail,Neutral,4
1120,07/02/2024,Police Clearance Certificate,Na,Neutral,3
1121,07/02/2024,Police Clearance Certificate,Keep Going,Happy,1
1122,07/02/2024,Police Clearance Certificate,Vry satfied,Happy,1
1123,07/02/2024,Police Clearance Certificate,Good Job Thank You,Happy,5
1124,07/02/2024,Police Clearance Certificate,Proud of this service,Happy,5
1125,07/02/2024,Police Clearance Certificate,Expective Charge But Fast Service,Happy,4
1126,07/02/2024,Certificate of Loss,Thank you so much very fast service,Happy,5
1127,07/02/2024,Police Clearance Certificate,Vry Friendly,Happy,5
1128,07/02/2024,Police Clearance Certificate,Great,Happy,5
1129,07/02/2024,Police Clearance Certificate,"I am hoping that the procese of the police CLARANCE CERTIFICE is Fast, please. Thank you.",Happy,4
1130,07/02/2024,Police Clearance Certificate,"It was so easy, my first time request a police cost Butr Search in Google I Got It and how to apply for it. Verry Accessible, Efficience and Easy Steps to Follow.",Happy,5
1131,07/02/2024,Police Clearance Certificate,"When it was time to enter my mobile number and the otp, there was a verb dely between when I type on the keyboard and when the letter show up up. I think there is a probem with the website.",Unhappy,2
1132,07/02/2024,Police Clearance Certificate,Good Services You Save My Time Think You Dubai Police,Happy,5
1133,07/02/2024,Police Clearance Certificate,Vry Good Service. Thank you for your help,Happy,5
1134,07/02/2024,Police Clearance Certificate,.....,Neutral,3
1135,07/02/2024,Police Clearance Certificate,Easy Access,Happy,5
1136,07/02/2024,Police Clearance Certificate,Thanks,Happy,5
1137,07/02/2024,night work permit,Everything Great,Happy,5
1138,07/02/2024,Police Clearance Certificate,Thanks,Happy,5
1139,07/02/2024,Police Clearance Certificate,Nice,Happy,4
1140,07/02/2024,Traffic Accident Report - Unkown Party,Good,Happy,4
1141,07/02/2024,Traffic Accident Report-  without Injuries,Dubai Police is very nice few dubai police,Happy,4
1142,07/02/2024,Certificate of Loss,Good and Fast Services,Happy,4
1143,07/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
1144,07/02/2024,Police Clearance Certificate,All thanks and appreciation,Happy,5
1145,07/02/2024,night work permit,This is my 2nd time to apply in 1 day before 1 contracter is not incubed in the 1st Permit Due to Error of the Website. I incomed that contracter but it Didn t apppere on the permit,Unhappy,1
1146,07/02/2024,Police Clearance Certificate,"The price for a certificat tendnt be the one you ask becuse it s The textologie iMPROVEMEMENT ShOULDNT Be a Burden But A RLIF (Also for the Money). But all the rest is perfect.",Neutral,4
1147,07/02/2024,Police Clearance Certificate,Good!,Happy,4
1148,07/02/2024,Police Clearance Certificate,Happy,Happy,5
1149,07/02/2024,Police Clearance Certificate,Easy and Effective Service,Happy,5
